Time	DO	OURex
min	mg/l	mg/l/min
29.98047	7.95311425	-0.00770538
29.996355	7.95908725	-0.00723552
30.0138033	7.95580855	-0.00628566
30.0289067	7.96130923	-0.004998
30.0455733	7.95853861	-0.003636
30.06224	7.95587754	-0.002382
30.08073	7.96373973	-0.001704
30.096875	7.96260649	-0.001962
30.1135417	7.95807852	-0.00303
30.1302083	7.96297087	-0.004086
30.146615	7.96535204	-0.004536
30.1638033	7.96661217	-0.005286
30.18099	7.96905272	-0.00616578
30.1986983	7.96807895	-0.00734808
30.215625	7.97464506	-0.00887154
30.2330733	7.98692998	-0.00966612
30.2484383	7.99129956	-0.00917076
30.2640633	7.99238886	-0.00789726
30.2799483	7.99216467	-0.00709002
30.296615	7.99408375	-0.00665802
30.3125	7.99830305	-0.005976
30.3296883	7.9955948	-0.00444
30.3479167	8.00559119	-0.002748
30.3630217	8.00906757	-0.001134
30.3799483	8.0108656	0.00084
30.3971367	8.01883542	0.0027
30.4145833	8.00923413	0.00345
30.43073	8.01332993	0.00348
30.446875	8.02283592	0.004704
30.4627617	8.01680021	0.005916
30.4796883	8.00867132	0.00561
30.496615	8.0013927	0.003726
30.5140633	8.00847441	0.001728
30.53099	8.0233434	0.001398
30.546615	8.01778092	0.001446
30.5638033	8.01723524	0.000774
30.58125	8.019087	-9.42E-05
30.5981783	8.00519226	-0.001944
30.6270833	8.00786435	-0.00447
30.6440117	8.02580919	-0.00601542
30.6609383	8.03524815	-0.00635508
30.6757817	8.04498884	-0.00607566
30.6893233	8.0461198	-0.005646
30.7046883	8.0423982	-0.005478
30.7208333	8.04332377	-0.005022
30.7377617	8.0463486	-0.00399
30.7552083	8.05164106	-0.002778
30.7708333	8.05567827	-0.00147
30.7864583	8.05690053	-0.0002256
30.8018233	8.04628728	-0.00024
30.81849	8.04459885	-0.001584
30.8351567	8.05484107	-0.002292
30.8515633	8.05303578	-0.00249
30.86849	8.04556077	-0.003684
30.884375	8.04838773	-0.006045
30.9020833	8.05169691	-0.00818622
30.91849	8.05858926	-0.00950322
30.9356783	8.06305882	-0.0103575
30.9510417	8.06144843	-0.01104792
30.9658867	8.07070408	-0.01103262
30.9815117	8.06699922	-0.0109155
30.9984383	8.06394408	-0.01226706
31.0143233	8.07083278	-0.01369494
31.0302083	8.07647638	-0.01365414
31.0471367	8.08572526	-0.01194264
31.0638033	8.08951416	-0.00966018
31.0799483	8.07887964	-0.00889458
31.0955733	8.07917719	-0.00919494
31.1127617	8.08458196	-0.00877902
31.13047	8.08758248	-0.00787104
31.146875	8.0889518	-0.00660372
31.1640633	8.09193508	-0.00489
31.18047	8.09618804	-0.00336
31.1971367	8.10005387	-0.002322
31.2135417	8.10458251	-0.001308
31.23047	8.10424759	-9.36E-05
31.246875	8.10752785	0.001086
31.2635417	8.09971034	0.001398
